id,kernel,lml,white_added,second_exception
52,p+r,-88.4372809968,False,False
52,l*r,-140.771688814,False,False
52,l*p,-146.387516735,True,False
52,p*r,-56.5481401127,True,False
52,l+r+p,206.602136059,False,False
52,l+r*p,-72.7149297419,True,False
52,l*r+p,78.7667062568,False,False
52,l*p+r,-40.091436132,True,False
52,l*r*p,-140.782454496,False,False
53,l,-68.1469394356,False,False
53,p,7.98514388034,False,False
53,r,-65.7831720123,False,False
53,l+r,-69.3934926547,False,False
53,l+p,-69.5363113189,False,False
53,p+r,197.443118087,False,False
53,l*r,-20.7586166388,True,False
53,l*p,-68.4817756383,False,False
53,p*r,-63.1259114931,True,False
53,l+r+p,45.4158787451,False,False
53,l+r*p,9.18978090765,True,False
53,l*r+p,36.8467736217,False,False
53,l*p+r,-68.3888855167,True,False
53,l*r*p,134.669962551,False,False
54,l,-326.845333082,False,False
54,p,-350.321912988,False,False
54,r,-143.875883508,False,False
54,l+r,-142.596286542,False,False
54,l+p,-251.556860927,False,False
54,p+r,-332.256459485,False,False
54,l*r,-160.018380114,True,False
54,l*p,-40.6905901651,False,False
54,p*r,46.9168242489,False,False
54,l+r+p,-270.045170252,True,False
54,l+r*p,30.7160856051,False,False
54,l*r+p,-89.2138686241,False,False
54,l*p+r,-306.409520993,False,False
54,l*r*p,-184.032985239,True,False
55,l,-150.344698413,False,False
55,p,157.114398028,False,False
55,r,146.906035021,False,False
55,l+r,-0.273003621325,True,False
55,l+p,-133.360420439,False,False
55,p+r,144.004519657,False,False
55,l*r,-8.70794214428,True,False
55,l*p,83.8614698387,False,False
55,p*r,-90.662922939,False,False
55,l+r+p,-0.28077177166,True,False
55,l+r*p,-183.649449628,True,True
55,l*r+p,158.382091734,False,False
55,l*p+r,-10.3324378362,True,False
55,l*r*p,-8.81281467204,True,False
56,l,-191.445475011,False,False
56,p,-189.732716208,False,False
56,r,111.247650377,False,False
56,l+r,-11.3348792639,True,False
56,l+p,-176.10179765,False,False
56,p+r,-24.7948934577,True,False
56,l*r,-27.2462702865,True,False
56,l*p,-21.4101757821,True,False
56,p*r,119.696948384,False,False
56,l+r+p,103.927774532,False,False
56,l+r*p,-36.5987863709,True,False
56,l*r+p,-88.8447809362,True,False
56,l*p+r,32.5584437162,False,False
56,l*r*p,-187.756958783,True,False
57,l,-409.951562389,False,False
57,p,-518.750438499,False,False
57,r,-243.679169253,False,False
57,l+r,-319.777144197,False,False
57,l+p,-409.927520224,False,False
57,p+r,-391.350033157,False,False
57,l*r,-132.678092975,True,False
57,l*p,-89.0212452857,False,False
57,p*r,-494.379143995,True,False
57,l+r+p,-522.600144184,False,False
57,l+r*p,-183.974595797,True,False
57,l*r+p,-90.0106846732,True,False
57,l*p+r,-430.378377718,False,False
57,l*r*p,-172.712209102,True,False
58,l,-145.665504934,False,False
58,p,-143.34759909,False,False
58,r,153.856869175,False,False
58,l+r,150.995485914,False,False
58,l+p,-133.070182689,False,False
58,p+r,152.191470025,False,False
58,l*r,-140.663723822,False,False
