,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
14,-1264.780856082148,-1187.3776554550093,-1279.9157799255333,-127.19812776010741,-233.22008294125737,-829.2316654701783,-879.9268262401836,245.5806393667872,350.06816658105686,363.25031441180624,-723.2124849902615,-89.55655242439778,405.99592453021506,191.33016895457774
140,-1111.2403784813398,-1097.1543040561132,-996.9028507159617,-226.21451156827845,-538.6914315753814,-140.89583269753984,-571.849686912524,-140.95129226332404,263.7467722070412,-583.3934860483009,-602.452040840432,240.94150386406932,203.1568543260447,105.20421481807995
141,-2119.581367413448,-1998.8720120347045,-1916.23905919984,-1593.260225759189,-1547.910415541755,-1592.437953332089,-2121.3020456832764,-1494.2731835614102,-1535.3204780711205,-1497.322813363566,-2276.122279338504,-1630.4751522602214,-2089.989416301276,-1555.5999177255046
142,-668.6090662042837,-667.8354068948447,-408.6235512466,8.618515497615817,21.05018233851754,-2033.7814973741354,795.9625858624513,902.9315055834787,43.45616461523312,-447.4713674871966,-936.1863842680694,826.6789733085972,844.8564914706349,775.7499806012884
143,-820.1998997774955,-818.5339825483356,23.076152670051066,-58.549882365005985,459.77313136688025,2.545559411214299,-8.63782649939401,8.626567792607482,777.2720789487078,327.37683694450175,-624.540264372273,772.5982933737224,654.8248869434975,558.3247657700045
144,-1624.596019548301,-1517.5973882013645,-833.6029790144436,197.32661645892006,-2047.746981577926,291.9384880107848,-1536.6814125173194,216.75273094399876,458.4843166575794,347.69248482966,320.187530823049,-20.657952560687228,344.71147177812924,188.21214295572554
145,-1065.8498488593286,-435.19839102744163,-131.35696325273443,7.98115929180841,-1176.1046899110886,-408.4084280413576,-1002.8582265835062,416.84408855271784,443.4686145402134,425.68914181032886,-416.2361733660242,444.0770649486909,480.2757189717946,408.2198730802333
146,-1326.1726297041,-1326.1735143694366,105.25006249535932,-1523.5864059389896,-2043.1074085789958,-999.1905905427866,-954.4575801798615,146.99336550317145,267.0951123849683,204.97603150076432,-1114.6580283071569,214.06175343310898,201.22516357712288,105.25005973500288
147,-2334.76304579026,-2525.7322100077376,-2812.449262398084,-16142.167066195918,-16142.167066195918,-16046.09321914139,-1005.2060894559393,854.0985969435935,77.88049326311096,98.74971341443995,-1118.3633756542083,80.23654630793858,-7897.171941683945,-143.55093764873504
148,-1060.8476253274266,-931.3004834140124,-1029.202287081209,-276.8600736265366,-253.2574977914539,-900.889374348921,-911.3491339634611,115.02012484348734,160.45554855321353,173.09196074260518,-911.0818138510311,159.51975022508168,159.73602114923852,76.3330526928736
149,-958.8901720194435,-34.47433758977873,-4035.38791376425,-1149.4758122698154,-2034.4321916469758,352.2626479961462,1555.958398847407,128.29812551666328,1577.386127897023,852.8384797975697,18.10762354606362,126.2433719789238,1508.8209302596147,1538.8287106775615
15,-2204.2704668872443,-2473.3291586554715,-26634975.928927522,-730.4535673497608,-692.3431822394533,-10306.251384064026,-1765.0281645502564,-484.77862906153,-734.2445818713147,-339.88012964095145,-2192.674652260993,-709.9487149876395,-434.39295248107186,-518.3955945632482
150,-1929.377296540166,-1929.378780862505,-1451.0330419086938,-843.8948177655506,-2453.46542899765,-621.8703129606215,-1411.6740768787292,-677.2482430939481,-792.8189398108397,-803.2344396511434,-1621.7025337419668,-1124.430107624798,-658.7961346903362,-1346.3229780936686
151,-1087.7362952393396,-1027.0629508403126,-9603.863418402412,-124.07554439816461,-97.38348284345327,-1025.6332337418723,-1028.0619043945217,246.75196156347732,329.1782738888429,265.61895179938153,-1027.9108508211575,340.7304261337823,266.25614590384396,225.82375173230955
152,-1367.3379196596932,-1367.33796408767,-364.14408431066573,-243.02503352609676,-335.34284599484755,-1076.4570832323625,-1266.366626466873,-17.71154348800019,41.371871556741894,-1093.3836710014068,-1266.3401752754444,60.553029885963866,11.999335861111206,-54.89267402247373
153,-2136.415645003188,-32058954.042333093,-1871.9187216868934,-1933.9641999637638,-2472.762131252037,-1891.3427681456255,-2136.3808588327324,-1500.6602226107375,-1554.0698129185107,-1492.74769819525,-2203.2235592676534,-1773.0861524868449,-1500.5120359246955,-1548.2240572007443
154,597.899000943145,878.3697508370059,-367.0364919188632,-456.14917797046775,53.74935651671689,140.3049715393372,934.2021315113104,933.011717964165,597.8990018335849,934.2291799411023,-1139.0687942125223,141.41733201138013,903.6925991890861,925.2177429951321
155,-924.9596697044835,-665.6673775396725,-40.27350143568948,-1260.3346677406878,-2034.502911961758,781.563389029696,-454.9625664874851,814.0361889003944,864.3103320023587,-64.51063564595327,-834.3387289806622,703.9634481598872,839.7589392532318,745.7453059275707
