,kernel,lml
445,p*r,158.78684318942487
446,p*r,128.30145377974773
447,p+r,-158.3234010718293
448,p*r,174.4851069741233
449,l+r+p,154.43585904606675
45,p*r,-155.96060147468953
450,l+p,-31.101772691028238
451,l+r*p,183.77917718990975
452,p*r,140.32402957374677
453,p+r,-115.61933462606412
454,p+r,153.3233027238961
455,l+r*p,175.12835651100158
456,l+r+p,-7.328931383038363
457,l+r*p,163.7441133399598
458,l+r*p,194.8665870186851
459,l+r,-89.07555209852339
46,l+r*p,169.71936676995836
460,l+r*p,188.0941011645392
461,l*r+p,197.91138969524408
462,l+p,10.876239374742703
463,l+r,184.28273153351842
464,p*r,167.6743396942016
465,l+r,-79.74809064183667
466,p*r,208.51151828783216
467,l+r+p,209.8774018338982
468,l+r+p,66.94065536427865
469,p*r,188.13495376389562
47,l+r+p,189.83469151400874
470,p*r,121.2247720266732
471,l+r+p,-110.32038216170807
472,p*r,175.79002595470686
473,l+r*p,169.36198534581766
474,l+r+p,-25.498384758663594
475,l+r*p,154.07884458338174
476,p*r,127.20430993241625
477,l+r+p,-111.50555987120909
478,p*r,166.7158181679369
479,l+r+p,182.11617790349638
48,l+r+p,41.36584711470178
480,l+r,-24.045276896089973
481,l+r*p,179.73876294671837
482,l+r+p,146.77042479593356
483,p*r,-104.9279642205913
484,p*r,171.7402441141919
485,p*r,179.0381338561847
486,l+r+p,-16.18439666150237
487,l+r+p,181.4585362459909
488,l+r*p,145.55212325893322
489,l+r+p,-129.33976547372296
49,l+r*p,152.75190582254132
490,l*r+p,200.67632226274208
491,p+r,162.59219815978892
492,p+r,-23.206545606277075
493,p*r,200.30791648158004
494,p*r,140.61062595292958
495,l+r+p,-154.10361574865823
496,l*r+p,221.69926360822512
497,p*r,202.318209026333
498,l+r+p,35.597110651348096
499,l+r*p,212.57075859471976
5,p*r,183.89411916267804
50,p*r,122.09231752943388
500,l+r*p,150.39208624828237
501,p*r,-155.7890215958367
502,l+r+p,206.13259841677143
503,p*r,202.4782743515281
504,l+r,16.9299447729415
505,l+r*p,175.75785154838752
506,l+r*p,135.4043076472692
507,l+r,-131.55203854502565
508,l*r+p,169.0181813366808
509,l+r+p,185.4042254796446
51,p*r,-75.29933113830835
510,l+r+p,-32.34924207235753
511,l+r*p,166.95202239754613
512,p+r,107.38821692756875
513,p+r,-116.50632421619079
514,p*r,170.45275423336943
515,l+r+p,156.8749489130328
516,p+r,3.187788706752496
517,l+r*p,162.87558017438917
518,l+r*p,140.94929442415452
519,p+r,-125.42555723650793
52,l*r+p,224.50228304916467
520,p*r,170.21991904779065
521,l+r*p,164.57560723768918
522,p+r,-31.806183503385732
523,l+r*p,149.5046540687516
524,l+r*p,137.37432435520256
525,p+r,-120.3356529623793
526,l+r*p,175.37567539345343
527,p*r,130.68459453530733
528,l+r+p,-3.825108822942788
529,p*r,190.41509296260648
53,p*r,215.97708947726935
530,l+r*p,131.72972549337308
531,r,-148.15199291461818
532,p*r,181.0107638251915
533,p*r,172.66414652152812
534,l+r+p,-59.016357645508265
535,l+r*p,173.59344066179483
536,p*r,183.274586062845
537,p*r,-182.06834728512956
538,l+r+p,240.01803653019812
539,p*r,215.4776366403394
54,l+r+p,24.36465931378025
540,p+r,34.092680579947384
541,p*r,164.97864294114012
542,p+r,219.90697750236708
543,l+r+p,-146.77613193864872
544,l+r*p,192.9427055183463
545,p*r,210.6165318521652
546,l+r+p,11.58123067853958
547,p*r,153.2090911706048
548,p*r,129.63179559775577
549,l+r+p,-152.63790904088324
55,p*r,157.31926479085564
550,l+r*p,180.5272455020169
551,l+r*p,169.56733361518621
552,p+r,-14.632312544506139
553,l+r*p,159.71654395435746
554,l+r+p,115.05708457988396
555,p+r,-174.8393576206773
556,l+r*p,176.64954912059002
557,p*r,180.85342907861116
558,l+r+p,-25.285766954630322
559,l+r*p,176.12918460642635
56,p*r,121.29290257904937
560,l+r+p,159.2147928134382
561,p+r,-126.10794715662709
562,p*r,170.76265374321966
563,l+r+p,176.43420594149495
564,l+r,-29.296788653679613
565,p*r,123.36772075611334
566,l+r,117.15987702715341
567,p*r,-107.70983414029226
568,p*r,136.37269325023857
569,p*r,173.61259889145683
57,p*r,-95.16906047494899
570,p+r,-16.937966846629166
571,p*r,173.6075792561152
572,l+r*p,137.27448428817883
