,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
133,-209.56215078218068,-25.51065881069796,131.9692009629509,133.49446851030476,-25.993450646306297,29.427965103113102,49.36597650896947,195.19989944975688,226.61679828118,50.28649148017378,17.311055720748918,217.74104548913525,247.80920902511508,188.4980518667179
134,-250.48389386178025,-40.70693719827719,-40.71140474480845,49.906211084923285,57.90298968779478,11.531908899194853,-27.33274509345195,94.67555434105067,62.48567134729487,109.14763093304079,97.40704989136881,108.06291833251163,106.09662481202554,67.22702654266466
135,-519.7070098756624,-431.49742712668797,-438.1285109151045,-166.68733948547649,-162.22731035850586,-173.25053845642356,-351.3399104187245,-348.83397128642747,-182.42597010656021,-359.90699289874533,-349.05978632776123,-185.97678780767595,-350.7937145465613,-348.5370147672769
136,-232.8143140070413,110.11791487176573,106.16264123566164,111.31260724547442,-36.373102847728326,-82.97393535603766,149.0076823584012,174.69166530965921,201.1164384687738,57.44827786391386,-153.2540823455294,207.67762410925417,-152.15806672027384,170.8781240753582
137,-218.4118995198832,114.35208175494877,-30.882144511700112,-31.440655943720344,-30.789386055065194,157.16152702216453,38.13421229316025,178.57883911359554,182.1494341950812,26.017955880379475,159.47039034056712,8.023703790493196,159.4704581716726,160.29387243117944
138,-421.6466562136912,-180.18024515153272,-159.236525246376,-56.65814958861823,-117.22562499116772,-115.39105950915854,14.95436413347877,12.93673120511301,-105.63788711305743,-253.23689610611706,-334.4630216912736,-152.04213132440765,4.610672548088068,7.086365379284953
139,-218.90440767052567,62.44606212448144,62.63389528606686,96.71296372930364,-364.7237432955248,-102.58844549180795,150.38941472676166,139.99046562655673,169.60005704520768,11.105251910850438,-102.58844584269562,169.83524068553118,-102.58844584270965,137.22025396438815
14,-251.50718721539278,72.73372225416655,-40.766200500965404,52.991839201381076,79.57340529176668,96.78078824696044,22.208971454827747,134.3904442684877,158.80104566895204,152.41432796707053,125.8413108913291,157.00874255418086,135.93263032495787,100.7730126042278
140,-261.3463523401261,65.07383893844695,63.370437906882664,24.86732923094364,56.99927692439563,136.01843058048877,-155.96715237881025,108.63241703131177,132.1607195126694,134.6194732667371,-180.9386337004231,130.59515937729952,126.08621539201212,73.88980416842097
141,-525.6777799492185,-500.70624937274505,-442.5318874624034,-194.98444032846217,-187.55006421651805,-190.61233880295052,-411.8766875195791,-133.87868395948828,-256.42378485013705,-131.362185538089,-410.3899857639508,-204.63962769113436,-168.46398226690718,-400.6660480829245
142,-226.7702138029003,84.52249584000651,71.49476210310704,57.34981135163832,78.19846380116788,141.020090579637,9.692298001398928,143.44593308347976,162.00529864979052,108.32624406175971,105.94062297088806,171.8839158480445,108.32673934460408,134.8472197890978
143,-233.15133676386705,-31.154177634953406,92.83680181619486,-31.62154959890207,-365.09348208688345,163.23727575965668,-68.89170550044224,144.34041895063658,165.1633788183355,170.61570402434705,-99.38597218814104,7.718405434514995,122.79321395099596,147.0233093362665
144,-409.04153457003633,-160.41969589309355,-320.25459117420337,-86.8068515355035,-885.456305156709,-85.48591727577764,-332.54568740400373,-25.729290731857457,-116.17404756460857,-16.483668793477733,-308.6750478793021,-118.15162226716576,-63.33473207268707,-27.71057722091913
145,-209.32952944362384,-25.572500305376323,131.02125896870675,132.7028976866881,137.14219460933646,157.6807442185185,-66.39218705327865,199.76576951882757,230.8979169732391,53.65334591234863,22.771843617037803,215.11471878240914,155.31278844908593,187.9232913409254
146,-243.23682152454796,49.25322467908286,48.78591544103244,-40.52434431111415,31.777163064893287,25.056138760906165,-113.57876177297886,77.86262013502123,128.11465273842595,120.9400988090181,89.38624416476912,128.1139001831247,-6.104938239871933,104.29844061474608
147,-519.6676724142768,-559.2619785812414,-444.958098786031,-157.73675791064025,-22221.097655212987,-171.7567843754078,-348.21362757397753,-78.78287905369942,-19644830.450391307,-350.1085939727691,-349.75151543791225,-184.6110448583211,-349.119591797666,-348.95354044560827
148,-238.70083714711723,103.37426574898389,-36.53772135813523,105.4077809461072,-35.775090279138595,152.96186634315836,39.40785103146791,187.3480924548865,157.16741909881532,161.62099817729282,-152.37683092135833,6.81655847275545,152.960030839332,149.57910218902512
149,-225.9031779113498,108.40216560711542,115.4062918693198,115.7186758781373,120.1889252667264,201.03922120531573,-70.6107700921642,154.01244967999745,202.0963039118935,23.830798916883175,152.89195691223182,7.359317986976311,154.5577451352302,152.91728131495432
15,-520.459507668947,-462.1550547674085,-443.9135505779773,-157.42727064442659,-164.23972532861575,-171.7393544134146,-348.5453565044283,-348.4202915333582,-173.37595691982148,-99.06428642379552,-917.0967350737612,-73.24438355505848,-66.59193588678521,-349.66695899952043
150,-415.37753630076855,-253.0369644915804,-281.78783876087283,-114.51080558410918,-117.65115722763802,-66.50532909800194,-509.1193712117338,7.338848893099996,-73.25591179094974,-13.028369173560634,-62.855454240854726,-60.92033135405089,22.337749349077228,5.39545904492239
151,-208.94592049529706,109.25698347789931,108.53221235326706,107.95925146969051,113.94515019343226,140.91778992730033,-69.55700575567887,167.22350757018816,190.56999370503047,200.1593334127585,140.99404016882826,181.88934701111285,165.88530820946428,158.88220584632958
152,-242.55000314871418,72.73110538447266,72.73905295962642,-40.513132134018704,76.85334067445476,26.79602885480719,-3.529146880687094,126.01826811057701,96.92405830681778,14.724705144600733,-132.98718690404135,151.04977868896987,115.71963011842479,126.01599390793801
153,-520.1678230102666,-454.53600470577,-447.5531451003366,-236.5651326769573,-213.01508449630563,-220.79220639519315,-429.16931505907473,-182.51831728400944,-178.26008267363474,-356.0831381802794,-462.0197064053029,-193.8674639724961,-409.37607488488374,-209.24417390655415
154,-238.54324394557054,108.66235550357948,-36.56623320215643,110.25178055333106,-35.780496531763305,20.251835099795237,61.20750535561787,179.949600609861,203.3242610541386,43.07831375210998,6.689007534184512,10.30167611868543,155.72182933759103,148.33497118427957
155,-225.88539514982267,119.0658708371468,121.0807339970466,124.04418035444803,-272.4833517953228,-67.35942615039383,-67.93684068713262,197.89068702460423,203.12429258533388,218.3645452966651,-67.35942683067783,212.27143538371917,-67.58693290342075,185.7792825492627
156,-415.3952965085195,-151.41778560323485,-246.70792318919757,-114.52471887180302,-113.99904173386241,-70.03458964028317,-307.8172465278391,6.672582082606166,-109.18182359984888,34.23606151687222,-333.07000008155205,-100.89628802813093,-107.25537109182504,5.522209017195532
157,-201.1138714879934,96.4635957316378,93.7485873011002,-219.25209612957855,-219.25130720619794,151.0376508680088,117.38698412278785,143.2348608757696,156.92308217038513,142.817760136978,116.10634665164662,156.92382830608582,142.9984661702174,142.00501214601096
158,-242.53879207466548,68.34846102713512,71.00417624293954,-40.50484516161859,48.52360347657631,50.03457249314657,14.38420591835002,125.16220984890988,135.26056261111842,14.384204749148935,115.47070089287118,150.06254011539775,83.77148004902392,125.16000582312833
159,-520.1775948279521,-462.5946516042153,-451.3546443542419,-236.4765503433744,-212.68311536396817,-220.7738201149565,-356.1234922533554,-189.06022636363127,-176.09320010908425,-356.12350229216116,-435.99612283003967,-277.92527161227815,-150.25907126067057,-194.86058418178627
16,-233.20462168847757,-3298.0837353915526,92.36592342452619,75.26742433261258,99.06012347482144,160.47300823682224,-70.82972077693096,147.49036795110555,181.59552155856363,10.472875283558558,-154.7142964119289,130.77163229975017,-154.78137126976466,147.03527827443386
160,-238.65708590690022,108.34919371921802,109.29201689265298,111.57354428654973,-35.795093159952685,-9.428572175042746,-67.06267769463865,192.79482002783004,206.6579739324006,46.16189440626725,27.553874089596697,8.87039660361302,27.553926161862517,150.34295857510105
161,-225.93396730633737,114.63848447292807,116.52301034340198,114.2869669283662,122.99820875393226,203.06865796912962,54.61851049163875,153.64146570803635,196.35885579799907,24.357437599518722,153.6095637489869,203.1843096899256,152.705247454923,152.7053869739473
162,-421.2429260895951,-1521359.6908252444,-289.38139657606195,-73.66822267094885,-117.28763132851509,-21.494088475753987,-248.61345572618043,-0.6097340345211251,-92.60357644555054,-248.98559579540236,-248.60960477353913,-97.14456885150224,44.62897626120662,-248.65209471678696
