cid,composition,white_added,second_exception
57,l+r*p,False,False
57,l*r+p,True,False
57,l*p+r,True,False
57,l*r*p,True,False
58,l,False,False
58,p,False,False
58,r,False,False
58,l+p,False,False
58,l+r,False,False
58,p+r,False,False
58,l*r,True,False
58,l*p,False,False
58,p*r,False,False
58,l+r+p,False,False
58,l+r*p,False,False
58,l*r+p,True,True
58,l*p+r,True,False
58,l*r*p,True,False
59,l,False,False
59,p,False,False
59,r,False,False
59,l+p,False,False
59,l+r,True,False
59,p+r,False,False
59,l*r,True,False
59,l*p,True,False
59,p*r,True,False
59,l+r+p,False,False
59,l+r*p,True,False
59,l*r+p,False,False
59,l*p+r,True,False
59,l*r*p,True,True
60,l,False,False
60,p,False,False
60,r,False,False
60,l+p,False,False
60,l+r,True,False
60,p+r,False,False
60,l*r,True,False
60,l*p,False,False
60,p*r,True,False
60,l+r+p,False,False
60,l+r*p,False,False
60,l*r+p,False,False
60,l*p+r,True,False
60,l*r*p,False,False
61,l,False,False
61,p,False,False
61,r,False,False
61,l+p,False,False
61,l+r,False,False
61,p+r,False,False
61,l*r,False,False
61,l*p,True,False
61,p*r,True,False
61,l+r+p,False,False
61,l+r*p,False,False
61,l*r+p,False,False
61,l*p+r,False,False
61,l*r*p,True,False
62,l,False,False
62,p,False,False
62,r,False,False
62,l+p,False,False
62,l+r,False,False
62,p+r,False,False
62,l*r,False,False
62,l*p,False,False
62,p*r,False,False
62,l+r+p,False,False
62,l+r*p,False,False
62,l*r+p,False,False
62,l*p+r,False,False
62,l*r*p,True,False
63,l,False,False
63,p,False,False
63,r,False,False
63,l+p,False,False
63,l+r,True,False
63,p+r,True,False
63,l*r,False,False
63,l*p,True,False
63,p*r,False,False
63,l+r+p,False,False
63,l+r*p,False,False
63,l*r+p,False,False
63,l*p+r,False,False
63,l*r*p,False,False
64,l,False,False
64,p,False,False
64,r,False,False
64,l+p,False,False
64,l+r,True,False
64,p+r,False,False
64,l*r,False,False
64,l*p,True,False
64,p*r,True,False
64,l+r+p,True,False
64,l+r*p,False,False
64,l*r+p,True,False
64,l*p+r,True,False
64,l*r*p,True,False
65,l,False,False
65,p,False,False
65,r,False,False
65,l+p,False,False
65,l+r,False,False
65,p+r,False,False
65,l*r,True,False
65,l*p,True,False
65,p*r,True,True
65,l+r+p,True,False
65,l+r*p,False,False
65,l*r+p,True,False
65,l*p+r,True,False
65,l*r*p,True,True
66,l,False,False
66,p,False,False
66,r,False,False
66,l+p,True,False
66,l+r,False,False
66,p+r,False,False
66,l*r,True,True
66,l*p,True,False
66,p*r,False,False
66,l+r+p,True,False
66,l+r*p,False,False
66,l*r+p,True,False
66,l*p+r,False,False
66,l*r*p,True,True
67,l,False,False
67,p,False,False
67,r,False,False
67,l+p,False,False
67,l+r,False,False
67,p+r,True,False
67,l*r,False,False
67,l*p,False,False
67,p*r,False,False
67,l+r+p,False,False
67,l+r*p,False,False
67,l*r+p,False,False
67,l*p+r,True,False
67,l*r*p,True,True
68,l,False,False
68,p,False,False
68,r,False,False
68,l+p,False,False
68,l+r,False,False
68,p+r,False,False
68,l*r,True,False
68,l*p,False,False
68,p*r,False,False
68,l+r+p,False,False
68,l+r*p,False,False
68,l*r+p,False,False
68,l*p+r,True,False
68,l*r*p,True,False
69,l,False,False
69,p,False,False
69,r,False,False
